"seq","speaker","clean_text","raw_text"
468,"JUSTICE BARRETT","miss blatt what about justice sotomayors dating hypothetical the discrimination like oh we are only going to  we are not going to match black people and white people et cetera what about that is that given s shield"," Ms. Blatt, what about Justice Sotomayor's dating hypothetical? The discrimination, like, oh, we're only going to -- we're not going to match black people and white people, et cetera. What about that? Is that given 230's shield?"
469,"MS. BLATT","absolutely not because any disparate treatment claim or race discrimination is saying you are treating people different regardless of the content so if i am  i am going to use it like with an advertising like i do not know whether i am a woman of  or  i mean that was a bad example  a woman of  or whatever and whether i live somewhere it really does not matter in terms of the law that is prohibiting discrimination the law is indifferent to what the content is it is just very unhappy about any kind of statusbased distinction so we think  and the  the harm that would flow is not the thirdparty information it is the websites conduct whether you want to call it speech or conduct that is based on status"," Absolutely not, because any disparate treatment claim or race discrimination is saying you're treating people different regardless of the content. So, if I'm -- I'm going to use it like with an advertising, like I don't know, whether I'm a woman of 10 or -- I mean, that was a bad example -- a woman of 30 or whatever, and whether I live somewhere, it really doesn't matter in terms of the law that's prohibiting discrimination. The law is indifferent to what the content is. It's just very unhappy about any kind of status-based distinction. So we think -- and the -- the harm that would flow is not the third-party information. It's the website's conduct, whether you want to call it speech or conduct, that's based on status."
470,"JUSTICE BARRETT","but what about the dating profile i mean is not that part of the content is not that part of the thirdparty inform"," But what about the dating profile? I mean, isn't that part of the content? Isn't that part of the third-party information?"
471,"MS. BLATT","sure and it is just  you could put it a bunch of different ways you could say even before the profiles go up there is a complete harm or even if the profiles go up it does not matter we would distinguish between the way dating sites work which do not work based on status but based on criteria that is uploaded and those are you know you are matching with somebody else the website is not saying you should only date a white person"," Sure. And it's just -- you could put it a bunch of different ways. You could say, even before the profiles go up, there's a complete harm, or even if the profiles go up, it doesn't matter. We would distinguish between the way dating sites work, which don't work based on status but based on criteria that's uploaded, and those are, you know, you're matching with somebody else. The website is not saying you should only date a white person."
472,"JUSTICE BARRETT","okay then what about news what about an algorithm that says you know you are a white person you are only going to be interested in news about white people and it will screen out anything that is a story featuring racial justice issu"," Okay. Then what about news? What about an algorithm that says, you know, you are a white person, you're only going to be interested in news about white people, and it will screen out anything that is a story featuring racial justice issues."
473,"MS. BLATT","yeah again anything based on status because the harm is complete independent of the information but if a website wants to say we are going to celebrate black history month no a white person or a black person is not going to be able to complain and say well i did not get enough white history month on your website those are claims that are core within treating them as publishing of the information "," Yeah, again, anything based on status, because the harm is complete, independent of the information, but if a website wants to say we're going to celebrate Black History Month, no, a white person or a black person is not going to be able to complain and say, well, I didn't get enough white history month on your website. Those are claims that are core within treating them as publishing of the information --"
474,"JUSTICE BARRETT","yeah but i guess i am  do not you think you are just fighting on the li"," Yeah, but I guess I'm -- don't you think you're just fighting on the liability?"
475,"MS. BLATT","no"," No."
476,"JUSTICE BARRETT","i mean it seems to me that you are kind of going back to liability because all of those are choices that are made independently right i mean we have been talking about the distinction between  or  or the lack of distinction in your view between the content itself and the websites choice of how to publish it i guess i do not see why "," I mean, it seems to me that you're kind of going back to liability, because all of those are choices that are made independently, right? I mean, we've been talking about the distinction between -- or -- or the lack of distinction in your view between the content itself and the website's choice of how to publish it. I guess I don't see why --"
477,"MS. BLATT","so heres "," So here's --"
478,"JUSTICE BARRETT"," for  purpos"," -- for 230 purposes."
479,"MS. BLATT"," heres our test and it is the test the fourth circuit recently took in henderson and it is the test the ninth circuit took let me give you an example that i think may help with the ad revenue sharing so this was an allegation that youtube was giving money to isis now this was in connection with thirdparty videos thirdparty information but the court said no that is not within section  because that is independent of the information that is giving money to isis that kind of whatever you think about its validity under the statute you are not treating them as a publisher you are treating them as a financer and it is just  and that is the test of the fourth circuit too the fourth circuit is looking  in that case it was about  you know all kinds of things were happening with thirdparty information and they were trying to tease out is it the credit report did they contribute to the credit report was it based on the websites failure to  to notify the employee and what the fourth circuit said is the exact same thing we said and it is the exact same thing the plaintiff has said on four pages of its brief or four times in its brief that you are looking for the harm what is the harm caused and this case is the perfect example the plaintiffs suffered a terrible fate and their argument is it is because people were radicalized by isis and if you start with the concession that the dissemination of those isis videos are  and a claim based on that is barred the question is is what additional comes from the way it was organized the government just says i do not know let some state figure it out that is not very helpful to internets that have to work on a national level and are posting and sorting and organizing billions upon billions upon billions of piece of  pieces of inform"," -- here's our test, and it's the test the Fourth Circuit recently took in Henderson, and it's the test the Ninth Circuit took. Let me give you an example that I think may help with the ad revenue sharing. So this was an allegation that YouTube was giving money to ISIS. Now this was in connection with third-party videos, third-party information. But the court said, no, that is not within Section 230 because that's independent of the information, that's giving money to ISIS. That kind of, whatever you think about its validity under the statute, you're not treating them as a publisher; you're treating them as a financer. And it's just -- and that's the test of the Fourth Circuit too. The Fourth Circuit is looking -- in that case, it was about -- you know, all kinds of things were happening with third-party information, and they were trying to tease out is it the credit report, did they contribute to the credit report, was it based on the website's failure to -- to notify the employee. And what the Fourth Circuit said is the exact same thing we said, and it's the exact same thing the plaintiff has said on four pages of its brief or four times in its brief, that you're looking for the harm. What is the harm caused? And this case is the perfect example. The plaintiffs suffered a terrible fate, and their argument is it's because people were radicalized by ISIS. And if you start with the concession that the dissemination of those ISIS videos are -- and a claim based on that is barred, the question is, is what additional comes from the way it was organized? The government just says, I don't know, let some state figure it out. That's not very helpful to Internets that have to work on a national level and are posting and sorting and organizing billions upon billions upon billions of piece of -- pieces of information."
480,"JUSTICE BARRETT","so just to clarify this is my last point you are happy with the henderson test the fourth circuit test"," So, just to clarify, this is my last point, you're happy with the Henderson test, the Fourth Circuit test?"
481,"MS. BLATT","yes i would say henderson is like  percent correct i got a little lost when they were going down the common law on publication but the result was great i just thought they got a little weird on the publication but yeah no their test is correct and it is also the ninth circu it is test on the isis revenue it is the exact same test we quote in our brief and it is the exact same test petitioner did and what that harm test is doing if i could just explain it because it sounds kind of shorthand but if you take the  which i am not sure justice jackson agrees with but if you take the underlying notion that this bars treatment as a publisher and you are saying well can they get around it by the way they are pleading it you are just looking to the harm so you are saying you can not really say that is negligence or intentional infliction because the harm is coming from the publishing of the defamatory content and so what i think all these cases where the courts are correctly saying  does not apply to the claim is they are isolating the harm and saying that is independent of the thirdparty information it is either based on the websites own speech or it is websites own conduct that is independent of the harm flowing from the thirdparty inform"," Yes. I would say Henderson is like 96 percent correct. I got a little lost when they were going down the common law on publication, but the result was great. I just thought they got a little weird on the publication. But, yeah, no, their test is correct, and it's also the Ninth Circuit's test on the ISIS revenue. It's the exact same test we quote in our brief, and it's the exact same test Petitioner did. And what that harm test is doing, if I could just explain it because it sounds kind of shorthand, but if you take the -- which I'm not sure Justice Jackson agrees with, but if you take the underlying notion that this bars treatment as a publisher, and you're saying, well, can they get around it by the way they're pleading it, you're just looking to the harm, so you're saying you can't really say that's negligence or intentional infliction because the harm is coming from the publishing of the defamatory content. And so what I think all these cases where the courts are correctly saying 230 does not apply to the claim is they're isolating the harm and saying that's independent of the third-party information. It's either based on the website's own speech or it's website's own conduct that's independent of the harm flowing from the third-party information."
482,"JUSTICE ALITO","if youtube labeled certain videos as the product of what it labels as responsible news providers that would be  that would be googles own content right"," If YouTube labeled certain videos as the product of what it labels as responsible news providers, that would be -- that would be Google's own content, right?"
483,"MS. BLATT","yes yes and can "," Yes. Yes. And can --"
484,"JUSTICE ALITO","and "," And --"
485,"MS. BLATT","yes can i say one thing just because "," Yes. Can I say one thing just because --"
486,"JUSTICE ALITO","yeah sur"," Yeah. Sure."
487,"MS. BLATT"," i forgot to mention thumbnails sorry thumbnails are not mentioned in the complaint so i was literally trying to figure out what he was talking about when i was up there because it is just not something in the complaint but that is a screenshot of the information being provided by another it is the embedded thirdparty speech okay sorry keep go"," -- I forgot to mention thumbnails? Sorry. Thumbnails aren't mentioned in the complaint, so I was literally trying to figure out what he was talking about when I was up there because it's just not something in the complaint. But that is a screenshot of the information being provided by another. It's the embedded third-party speech. Okay. Sorry. Keep going."
488,"JUSTICE ALITO","all right so if  but then if i do a search for todays news in youtube  in fact i did that yesterday  and all the top hits were very wellknown news sources those are not recommendations that is not youtubes speech the fact that youtube put those at the top so those are the ones i am most likely to look at that is not youtubes speech"," All right. So if -- but then, if I do a search for today's news in YouTube -- in fact, I did that yesterday -- and all the top hits were very well-known news sources. Those are not recommendations. That's not YouTube's speech? The fact that YouTube put those at the top, so those are the ones I'm most likely to look at, that's not YouTube's speech?"
489,"MS. BLATT","right but i mean all search engines work the same way if you type in whatever you type in there is a algorithm that is deciding what content to display it has to be displayed somehow and what i think is going on on youtube or it is certainly going on on google search is they are not going to  they are looking at what did other users look how popular was it that kind of thing you know is it  is that news source you know from russia probably not going to get on the top list so yeah they are having to make choices because there could be over a billion hits from yours and there are a  a billion hours of videos watched each day on youtube and  hours uploaded every minute so it is a lot of content on youtube so some of it is based on channels and some of it is based on searches but they have to organize it somehow but that is what is going on i think on your top searches is they are  in most search engines too and you can look at the microsoft brief they are basing it on what  time spent on those news sites how many users are looking at them how relevant it is if it is  if you are  if you are typing in the turkey earthquake they might be elevating some stuff that is featuring that because it you know seems more relevant if there is a recent election they might feature that so all these kinds of decisions are being made by websites every day"," Right. But, I mean, all search engines work the same way. If you type in whatever you type in, there is a algorithm that's deciding what content to display. It has to be displayed somehow. And what I think is going on on YouTube or it's certainly going on on Google Search is they're not going to -- they're looking at what did other users look, how popular was it, that kind of thing. You know, is it -- is that news source, you know, from Russia? Probably not going to get on the top list. So, yeah, they're having to make choices because there could be over a billion hits from yours, and there are a -- a billion hours of videos watched each day on YouTube and 500 hours uploaded every minute, so it's a lot of content on YouTube. So some of it's based on channels, and some of it's based on searches. But they have to organize it somehow. But that is what's going on, I think, on your top searches, is they're -- in most search engines too, and you can look at the Microsoft brief, they're basing it on what -- time spent on those news sites, how many users are looking at them, how relevant it is, if it's -- if you're -- if you're typing in the Turkey earthquake, they might be elevating some stuff that's featuring that because it, you know, seems more relevant. If there's a recent election, they might feature that. So all these kinds of decisions are being made by websites every day."
490,"JUSTICE ALITO","would  would the  would google collapse and the internet be destroyed if youtube and therefore google were potentially liable for posting and refusing to take down videos that it knows are defamatory and fals"," Would -- would the -- would Google collapse and the Internet be destroyed if YouTube and, therefore, Google were potentially liable for posting and refusing to take down videos that it knows are defamatory and false?"
491,"MS. BLATT","well i do not think google would i think probably every other website might be because they are not as big as google but heres what happens i mean you do have that situation in europe but there  there is not class actions there is not plaintiffs lawyers there is not the tort system so what you would have is a deluge of people saying you know my  that restaurant review was  you know you say my restaurant review i did not like it i think yelp does an amazing job on this about how much they got hit and had to spend you know almost crushing litigation because they were being accused of being you know biased on reviewers and everyone  no matter what  they could not win for losing or lose for winning whatever the phrase is because whoever they  whoever got reviewed somebody was upset and so i think those websites they never would have happened and they probably would collaps"," Well, I don't think Google would. I think probably every other website might be because they're not as big as Google. But here's what happens. I mean, you do have that situation in Europe, but there -- there's not class actions. There's not plaintiffs' lawyers. There's not the tort system. So what you would have is a deluge of people saying, you know, my -- that restaurant review was -- you know, you say my restaurant review, I didn't like it. I think Yelp! does an amazing job on this, about how much they got hit and had to spend, you know, almost crushing litigation because they were being accused of being, you know, biased on reviewers. And everyone -- no matter what -- they couldn't win for losing or lose for winning, whatever the phrase is, because whoever they -- whoever got reviewed, somebody was upset. And so I think those websites, they never would have happened, and they probably would collapse. "
492,"JUSTICE ROBERTS","thank you counsel justice thomas anything further justice alito justice sotomayor justice kagan justice gorsuch"," Thank you, counsel. Justice Thomas, anything further? Justice Alito? Justice Sotomayor? Justice Kagan? Justice Gorsuch?"
493,"JUSTICE GORSUCH","miss blatt i  i kind of want to return to some of the questions i asked earlier it seems to me inherent in c is a distinction between those who are simply interactive computer services and those who are information content providers and so when we flip over to f the distinction i  i  i glean from that is that if you are picking choosing analyzing or digesting content which is the bulk of what you  how you describe googles activities in  in the search engine context are  are protected and that content must be something more than that providing content must be something more than that is  is that right in your view"," Ms. Blatt, I -- I kind of want to return to some of the questions I asked earlier. It seems to me inherent in (c)(1) is a distinction between those who are simply interactive computer services and those who are information content providers. And so, when we flip over to (f), the distinction I -- I -- I glean from that is that if you're picking, choosing, analyzing, or digesting content, which is the bulk of what you -- how you describe Google's activities in -- in the search engine context, are -- are protected and that content must be something more than that, providing content must be something more than that. Is -- is that right in your view?"
494,"MS. BLATT","i  i thought you were absolutely correct and i think some of the amicus briefs do this in terms of if you are looking at what is information being created or developed there is that distinction it can not be that you  by sorting you created or partially developed the information so i think you had it exactly right i got a little upset when you talked about a remand that somehow the ninth circuit got it wrong"," I -- I thought you were absolutely correct. And I think some of the amicus briefs do this. In terms of if you're looking at what is information being created or developed, there is that distinction. It can't be that you -- by sorting, you created or partially developed the information. So I think you had it exactly right. I got a little upset when you talked about a remand that somehow the Ninth Circuit got it wrong."
495,"JUSTICE GORSUCH","well let us  let us go there next then because it seems to me that even under that understanding of the statute there is some residual content for which an interactive computer service can be liable you would agree with that that that is poss"," Well, let's -- let's go there next then, because it seems to me that even under that understanding of the statute, there is some residual content for which an interactive computer service can be liable. You'd agree with that, that that's possible?"
496,"MS. BLATT","not on this complaint because "," Not on this complaint because --"
497,"JUSTICE GORSUCH","no no no of course not on this complaint but in the abstract it  it is poss"," No, no, no, of course, not on this complaint, but in the abstract, it -- it's possible?"
498,"MS. BLATT","absolutely correct"," Absolutely correct."
499,"JUSTICE GORSUCH","okay and then when  when it comes to what the ninth circuit did it applied this neutral tools test and i guess my problem with that is that language is not anywhere in the statute number one number two you can use algorithms as well as persons to generate content so just because it is an algorithm does not mean it does not  can not generate content it seems to me and third that i am not even sure any algorithm really is neutral i am not even sure what that test means because most algorithms are designed these days to maximize profits there are other examples  justice kagan offered some the solicitor general offered some  where an algorithm might be  contain a  a point of view and even a discriminatory one so i  i guess i am not sure i understand why the ninth circu it is test was the appropriate one and why a remand would not be appropriate to have it apply the test that we just discuss"," Okay. And then, when -- when it comes to what the Ninth Circuit did, it applied this neutral tools test, and I guess my problem with that is that language isn't anywhere in the statute, number one. Number two, you can use algorithms as well as persons to generate content, so just because it's an algorithm doesn't mean it doesn't -- can't generate content, it seems to me. And third, that I'm not even sure any algorithm really is neutral. I'm not even sure what that test means because most algorithms are designed these days to maximize profits. There are other examples -- Justice Kagan offered some, the Solicitor General offered some -- where an algorithm might be -- contain a -- a point of view and even a discriminatory one. So I -- I guess I'm not sure I understand why the Ninth Circuit's test was the appropriate one and why a remand wouldn't be appropriate to have it apply the test that we just discussed."
500,"MS. BLATT","because it is not  i do not think that was the ninth circu it is test it was one sentence that  maybe i think it mentioned it twice  that is basically you know almost making fun of the complaint the complaint does not "," Because it's not -- I don't think that was the Ninth Circuit's test. It was one sentence that -- maybe I think it mentioned it twice -- that's basically, you know, almost making fun of the complaint. The complaint doesn't --"
501,"JUSTICE GORSUCH","oh oh okay okay so we are just disagreeing over how we read the ninth circu it is opinion but if i read it that way then would a remand be appropri"," Oh, oh, okay. Okay. So we're just disagreeing over how we read the Ninth Circuit's opinion, but if I read it that way, then would a remand be appropriate?"
502,"MS. BLATT","well i am  i am going to say no because i do not understand how  how somehow that they have a bad complaint means the ninth circu it is worse off when the ninth circuit said over and over and over you havent  this is just the way you are organizing it and the complaint never alleges there was something independently wrongful about the content it never says these were colloquial recommendations it just says because you previously liked this content and one other thing the complaint never even alleges that youtube ever recommended to any  in terms of even displaying an isis video to anybody who was not looking for it i do not even know how you could get isis on your youtube system unless you were searching for it and the one "," Well, I'm -- I'm going to say no because I don't understand how -- how somehow that they have a bad complaint means the Ninth Circuit's worse off when the Ninth Circuit said over and over and over you haven't -- this is just the way you're organizing it. And the complaint never alleges there was something independently wrongful about the content. It never says these were colloquial recommendations. It just says because you previously liked this content. And one other thing. The complaint never even alleges that YouTube ever recommended to any -- in terms of even displaying an ISIS video, to anybody who wasn't looking for it. I don't even know how you could get ISIS on your YouTube system unless you were searching for it. And the one --"
503,"JUSTICE GORSUCH","i certainly understand your  your  your complaints about the complaint but if i  if  if you  you  you do not think neutral tools  you are not defending the neutral tools principle either as i understand it"," I certainly understand your -- your -- your complaints about the complaint. But, if I -- if -- if you -- you -- you don't think neutral tools -- you're not defending the neutral tools principle either as I understand it."
504,"MS. BLATT","i am defending it with respect to justice kagans question absolutely because she is concerned about biased algorithms and she does not have to worry about that in this case because they have neutral algorithms they do not allege and what they mean by neutral algorithms is neutral with respect to content so there is no "," I'm defending it with respect to Justice Kagan's question, absolutely, because she's concerned about biased algorithms, and she doesn't have to worry about that in this case because they have neutral algorithms they don't allege. And what they mean by neutral algorithms is neutral with respect to content. So there's no --"
505,"JUSTICE GORSUCH","thank you"," Thank you."
506,"MS. BLATT","okay"," Okay."
507,"JUSTICE GORSUCH","thank you"," Thank you."
508,"MS. BLATT","thank you"," Thank you. "
509,"JUSTICE ROBERTS","justice kavanaugh no justice barrett justice jackson"," Justice Kavanaugh? No? Justice Barrett? Justice Jackson?"
510,"JUSTICE JACKSON","so i understood you to say that  immunizes platforms for treatment as a publisher which you take to mean if they are acting as a publisher in the sense that they are organizing and editing and  not editing but organizing and  cont"," So I understood you to say that 230 immunizes platforms for treatment as a publisher, which you take to mean if they are acting as a publisher in the sense that they are organizing and editing and -- not editing, but organizing and -- content."
511,"MS. BLATT","communicating broadcasting which includes how it is display"," Communicating, broadcasting, which includes how it's displayed."
512,"JUSTICE JACKSON","and  and would that include  i  i just want to go back to justice alitos point would that include the home page of the youtube website that has a featured video box and the featured video is the isis video"," And -- and would that include -- I -- I just want to go back to Justice Alito's point. Would that include the home page of the YouTube website that has a featured video box and the featured video is the ISIS video?"
513,"MS. BLATT","right"," Right."
514,"JUSTICE JACKSON","that is  is cov"," That is -- is covered?"
515,"MS. BLATT","well maybe not because that gets into my continuum question if you think that feature is some sort of endorsement such that the claim is actually treating the website as  and that the harm is flowing from that  the word feature then that is out of   i think you would "," Well, maybe not because that gets into my continuum question. If you think that feature is some sort of endorsement such that the claim is actually treating the website as -- and that the harm is flowing from that -- the word feature, then that's out of -- 230. I think you would --"
516,"JUSTICE JACKSON","no i am sorry why why  why is that out of "," No, I'm sorry, why? Why -- why is that out of 230?"
517,"MS. BLATT","so the whole point about what we are saying is making sure that if you start with the assumption that the dissemination of youtube  i am sorry  of isis videos you can not hold the youtube liable for that then the only question that we are concerned about and which is so destabilizing is if you can just plead around it by pointing to anything inherent in the publication and the government never said what websites are supposed to do"," So the whole point about what we're saying is making sure that if you start with the assumption that the dissemination of YouTube -- I'm sorry -- of ISIS videos, you can't hold the YouTube liable for that, then the only question that we're concerned about and which is so destabilizing is if you can just plead around it by pointing to anything inherent in the publication. And the government never said what websites are supposed to do."
518,"JUSTICE JACKSON","no but this is not inherent in the publ"," No, but this is not inherent in the publication."
519,"MS. BLATT","exactly it is featur"," Exactly, it's featured."
520,"JUSTICE JACKSON","so  so  so this is helpful i mean if "," So -- so -- so this is helpful, I mean, if --"
521,"MS. BLATT","yes"," Yes."
522,"JUSTICE JACKSON"," we  we have a  a home page on youtube and it has featured as the little title and a box and let us say the algorithm randomly selects videos from their content and puts them up for a week at a time and the random video that is selected is the youtube  is the isis video and it runs when you open up youtube for a week"," -- we -- we have a -- a home page on YouTube and it has Featured as the little title and a box, and let's say the algorithm randomly selects videos from their content and puts them up for a week at a time, and the random video that's selected is the YouTube -- is the ISIS video, and it runs when you open up YouTube for a week."
523,"MS. BLATT","right"," Right."
524,"JUSTICE JACKSON","covered or not cov"," Covered or not covered?"
525,"MS. BLATT","well it depends on whether you think it is an endorsement of  i mean if it said this is the library of congress and we feature this because we want to show you how bad isis is you know i do not know the reason why i care so much about this is because like i said google and youtube do not do this but all the other amicus briefs are talking about they do things like that and they might have a little emoji"," Well, it depends on whether you think it's an endorsement of -- I mean, if it said this is the Library of Congress and we feature this because we want to show you how bad ISIS is, you know, I don't know. The reason why I care so much about this is because, like I said, Google and YouTube don't do this, but all the other amicus briefs are talking about they do things like that and they might have a little emoji."
526,"JUSTICE JACKSON","no i guess i am just trying  i do not understand i just want to know whether the  put  putting on the home page of youtube the decision to have an algorithm that puts on its home page various videos thirdparty content and it turns out that one of those videos is an isis video and the person is radicalized and they harm the petitioners famili"," No, I guess I'm just trying -- I don't understand. I just want to know whether the -- put -- putting on the home page of YouTube, the decision to have an algorithm that puts on its home page various videos, third-party content, and it turns out that one of those videos is an ISIS video and the person is radicalized and they harm the Petitioner's family."
527,"MS. BLATT","yes so that is inherent to publishing the home page the word feature actually using the express statement of feature it  first of all is not  the website did not have to do it the owner "," Yes. So that is inherent to publishing the home page. The word ""Feature,"" actually using the express statement of feature, it -- first of all, is not -- the website didn't have to do it. The owner --"
528,"JUSTICE JACKSON","so i am sorry inherent to publishing it is cov"," So I'm sorry, inherent to publishing, it's covered?"
529,"MS. BLATT","the home pag"," The home page."
530,"JUSTICE JACKSON","it is cov"," It's covered?"
531,"MS. BLATT","absolutely because no website  how are you supposed to  how are you supposed to operate a website unless you put a home page on and so they have to do something and if you could always say well the home page  you know unless you are just going to do it alphabetically or reverse chronological order a website is always going to be sued for neglig"," Absolutely, because no website -- how are you supposed to -- how are you supposed to operate a website unless you put a home page on, and so they have to do something. And if you could always say, well, the home page -- you know, unless you're just going to do it alphabetically or reverse chronological order, a website is always going to be sued for negligence."
532,"JUSTICE JACKSON","all right so if i  if i disagree with you and i  and i am  about the meaning of the statute all right focusing in on the meaning of the statute you say if you are making editorial judgments about how to organize things then you are a publisher and you are covered if i think that the statute really only provides immunity if the claim is that the platform has this isis video there and it can be accessed and it has not taken it down do you have an argument that the recommendations that they are talking about is  is tantamount to the same th"," All right. So, if I -- if I disagree with you and I -- and I'm -- about the meaning of the statute, all right, focusing in on the meaning of the statute, you say, if you're making editorial judgments about how to organize things, then you're a publisher and you're covered. If I think that the statute really only provides immunity if the claim is that the platform has this ISIS video there and it can be accessed and it hasn't taken it down, do you have an argument that the recommendations that they're talking about is -- is tantamount to the same thing?"
533,"MS. BLATT","yes because the only basis for saying recommendations are not covered is  that i saw is the government saying is it conveys a distinct implicit message that you might be interested that is a distinct implicit message that can only  it happens every time you publish if you publish one thing on the internet it conveys a distinct message of dear reader we sat around and thought you might be interested "," Yes, because the only basis for saying recommendations are not covered is -- that I saw is the government saying is it conveys a distinct implicit message that you might be interested. That is a distinct implicit message that can only -- it happens every time you publish. If you publish one thing on the Internet, it conveys a distinct message of dear reader, we sat around and thought you might be interested --"
534,"JUSTICE JACKSON","and you are saying "," And you're saying --"
535,"MS. BLATT"," or we want to make money "," -- or we want to make money --"
536,"JUSTICE JACKSON"," you are saying that  that there is no  that organizational choices that put that content on the front page on the first thing when you open it up without typing in anything cannot be isolated and that it is the same thing as it appears on the internet anywhere such that  appli"," -- you're saying that -- that there's no -- that organizational choices that put that content on the front page, on the first thing, when you open it up without typing in anything, cannot be isolated and that it's the same thing as it appears on the Internet anywhere such that 230 applies?"
537,"MS. BLATT","yes and i will use the governments own words they said if you hold them liable for topic headings you render the statute a dead letter because you have to organize the content so if you think the topic headings are conveying some implicit message you can target out the government said then the web can not function and i think we care about it because we are big websites that have lots of information other websites and all the amici briefs are saying is our whole business is organizing to make it useful if you need a job you are going to organize it by location "," Yes, and I'll use the government's own words. They said, if you hold them liable for topic headings, you render the statute a dead letter because you have to organize the content. So, if you think the topic headings are conveying some implicit message you can target out, the government said then the web can't function. And I think we care about it because we're big websites that have lots of information. Other websites, and all the amici briefs are saying, is our whole business is organizing to make it useful. If you need a job, you're going to organize it by location --"
538,"JUSTICE JACKSON","are you aware of any defamation claim in any state or jurisdiction in which you would be held liable you would  you would actually be liable for organizational choices like thi"," Are you aware of any defamation claim in any state or jurisdiction in which you would be held liable, you would -- you would actually be liable for organizational choices like this?"
539,"MS. BLATT","no i am not worried about the defamation claim i am worried for a products liability claim or what the government kept saying your design choices those could just be a product liability claim or a negligence claim you negligently went alphabetical or you negligently featured whatever you featured that made my you know kid addicted to whatever it was and that  those kind of claims happen because they are publishing and the whole point of getting this statute was to protect against publishing so whatever is publishing inherent to publishing yeah has to be cov"," No, I'm not worried about the defamation claim. I'm worried for a products liability claim or what the government kept saying, your design choices. Those could just be a product liability claim or a negligence claim. You negligently went alphabetical or you negligently featured whatever you featured that made my, you know, kid addicted to whatever it was. And that -- those kind of claims happen because they're publishing. And the whole point of getting this statute was to protect against publishing. So whatever is publishing, inherent to publishing, yeah, has to be covered."
540,"JUSTICE JACKSON","thank you"," Thank you. "
541,"JUSTICE ROBERTS","thank you counsel rebuttal mister schnapper rebuttal argument of eric schnapper on behalf of the petition"," Thank you, counsel. Rebuttal, Mr. Schnapper? REBUTTAL ARGUMENT OF ERIC SCHNAPPER ON BEHALF OF THE PETITIONERS"
542,"MR. SCHNAPPER","thank you mister chief justice and may it please the court if i might start with my colleagues reference to things inherent in publishing i would just offer a cautionary note and review of the transcript will support this that  that has been given an extraordinarily expansive account here so topic headings were characterized as inherent in publishing you know a topic heading could be how bob steals things all the time that is not  should not be protected she mentioned trending now as inherent in publishing but that is like featured today you could run  you could have a site that did not use the words trending now autoplay certainly is not inherent in publication and she mentioned home pages and you have to have a home page and that is fair but you do not have to have on the home page selected things that you are drawing peoples attention to the home page that i have on my desktop for google is a box and those charming little cartoons and there is not anything featured there one could have a  a website home page for youtube that was not promoting particular things that is just how they have chosen to do it with regard to neutral tools and this goes back to a point a number of you made about race a neutral algorithm can end up creating very nonneutral rules it is not hard to imagine that an algorithm might conclude that most people who  who went to spelman and morehouse now live in prince georges county and therefore in showing you videos people who ask for videos about places to live near washington if they are black they will be shown prince georges county if they will be  if they are white they will be shown montgomery county the algorithms can create those kinds of rules whether  characterizing that as neutral loses its force once the defendant knows it is happening you know to some extent algorithms and computer functions can run amok but you can not call it neutral once the defendant knows that its algorithm is doing that and this runs a little bit into the issue that we will be talking about tomorrow two short points and then one closing item with regard to rule  section f i said this before i just want to reiterate it section f does not apply to systems or to information services it only applies to software providers the language of the statute is very specific and with the question about the possible implications of the decision in  in taamneh it  it is fair  it is normal practice in the district court when there is a motion to dismiss to permit the plaintiff to amend to deal with the relevant standard and that is exactly what we ought to be afforded an opportunity to do thank you very much"," Thank you, Mr. Chief Justice, and may it please the Court: If I might start with my colleague's reference to things inherent in publishing, I would just offer a cautionary note, and review of the transcript will support this. That -- that has been given an extraordinarily expansive account here. So topic headings were characterized as inherent in publishing. You know, a topic heading could be how Bob steals things all the time. That's not -- shouldn't be protected. She mentioned ""Trending now"" as inherent in publishing, but that's like ""Featured today."" You could run -- you could have a site that didn't use the words ""Trending now."" Auto-play certainly isn't inherent in publication. And she mentioned home pages, and you have to have a home page, and that's fair, but you don't have to have on the home page selected things that you're drawing people's attention to. The home page that I have on my desktop for Google is a box and those charming little cartoons, and there isn't anything featured there. One could have a -- a website home page for YouTube that wasn't promoting particular things. That's just how they've chosen to do it. With regard to neutral tools, and this goes back to a point a number of you made about race, a neutral algorithm can end up creating very non-neutral rules. It's not hard to imagine that an algorithm might conclude that most people who -- who went to Spelman and Morehouse now live in Prince George's County and, therefore, in showing you videos, people who ask for videos about places to live near Washington, if they're black, they'll be shown Prince George's County; if they'll be -- if they're white, they'll be shown Montgomery County. The algorithms can create those kinds of rules. Whether -- characterizing that as neutral loses its force once the defendant knows it's happening. You know, to some extent, algorithms and computer functions can run amok, but you can't call it neutral once the defendant knows that its algorithm is doing that. And this runs a little bit into the issue that we'll be talking about tomorrow. Two short points and then one closing item. With regard to Rule -- Section (f)(4), I said this before, I just want to reiterate it, Section (f)(4) does not apply to systems or to information services. It only applies to software providers. The language of the statute is very specific. And with the question about the possible implications of the decision in -- in Taamneh, it -- it is fair -- it is normal practice in the district court when there's a motion to dismiss to permit the plaintiff to amend to deal with the relevant standard, and that's exactly what we ought to be afforded an opportunity to do. Thank you very much. "
